Open_flag,High_flag,Low_flag,Close_flag,Adj Close_flag,Volume_flag
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Outlier
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal,Normal,Normal
